"","actual","useroption"
"1","FG","Field Goals Made"
"2","FGA","Field Goal Attempts"
"3","FG.","Field Goal Percentage"
"4","X3P","3PT Made"
"5","X3PA","3PT Attempts"
"6","X3P.","3PT Percentage"
"7","FT","Free Throws Made"
"8","FTA","Free Throw Attempts"
"9","FT.","Free Throw Percentage"
"10","ORB","Offensive Rebounds"
"11","DRB","Defensive Rebounds"
"12","TRB","Total Rebounds"
"13","AST","Assists"
"14","STL","Steals"
"15","BLK","Blocks"
"16","TOV","Turnovers"
"17","PF","Fouls"
"18","PTS","Points"
"19","GmSc","Game Score"
"20","Plus.Minus","Plus/Minus"
