"","Yr","Player"
"1",1959,"Paul Arizin"
"2",1959,"Larry Costello"
"3",1959,"Bob Cousy"
"4",1959,"Richie Guerin"
"5",1959,"Red Kerr"
"6",1959,"Bill Russell"
"7",1959,"Woody Sauldsberry"
"8",1959,"Dolph Schayes"
"9",1959,"Kenny Sears"
"10",1959,"Bill Sharman"
"11",1959,"Elgin Baylor"
"12",1959,"Larry Foust"
"13",1959,"Dick Garmaker"
"14",1959,"Cliff Hagan"
"15",1959,"Slater Martin"
"16",1959,"Dick McGuire"
"17",1959,"Bob Pettit"
"18",1959,"Gene Shue"
"19",1959,"Jack Twyman"
"20",1959,"George Yardley"
