"","x"
"1","G"
"2","GS"
"3","MP/G"
"4","FG/G"
"5","FGA/G"
"6","3P/G"
"7","3PA/G"
"8","2P/G"
"9","2PA/G"
"10","FT/G"
"11","FTA/G"
"12","ORB/G"
"13","DRB/G"
"14","TRB/G"
"15","AST/G"
"16","STL/G"
"17","BLK/G"
"18","TOV/G"
"19","PF/G"
"20","PTS/G"
"21","MP"
"22","FG"
"23","FGA"
"24","FG%"
"25","3P"
"26","3PA"
"27","3P%"
"28","2P"
"29","2PA"
"30","2P%"
"31","eFG%"
"32","FT"
"33","FTA"
"34","FT%"
"35","ORB"
"36","DRB"
"37","TRB"
"38","AST"
"39","STL"
"40","BLK"
"41","TOV"
"42","PF"
"43","PTS"
"44","PER"
"45","TS%"
"46","3PAr"
"47","FTr"
"48","ORB%"
"49","DRB%"
"50","TRB%"
"51","AST%"
"52","STL%"
"53","BLK%"
"54","TOV%"
"55","USG%"
"56","OWS"
"57","DWS"
"58","WS"
"59","WS/48"
"60","OBPM"
"61","DBPM"
"62","BPM"
"63","VORP"
"64","FG/100P"
"65","FGA/100P"
"66","3P/100P"
"67","3PA/100P"
"68","2P/100P"
"69","2PA/100P"
"70","FT/100P"
"71","FTA/100P"
"72","ORB/100P"
"73","DRB/100P"
"74","TRB/100P"
"75","AST/100P"
"76","STL/100P"
"77","BLK/100P"
"78","TOV/100P"
"79","PF/100P"
"80","PTS/100P"
